architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
64_32,0.0001,0.01,0.6,0.3,0.4585310580259314,0.7152990478211531,0.6675104665744832,0.3488957661484807,0.679718022819276,0.2560221384653869
64_32,0.0001,0.01,0.7,0.4,0.449956109194723,0.7040897833934606,0.6572368569944584,0.33800791110389156,0.6790372127014662,0.24108228278667498
64_32,0.0001,0.001,0.2,0.3,0.45602996411641056,0.7116092567553116,0.6764489906266368,0.3532591051577233,0.6569536657904219,0.2578858868999338
64_32,0.0001,0.001,0.3,0.3,0.4596951432036209,0.7123140253010875,0.6731098461141268,0.34899759095380595,0.6869522395486738,0.25955459454169183
64_32,0.0001,0.001,0.4,0.3,0.4633868451854083,0.715981767804327,0.6869145488605408,0.3643430230753563,0.6533816879497467,0.27070227905845784
64_32,0.0001,0.001,0.5,0.3,0.44584855717294536,0.7028935663604768,0.6626391018236998,0.3419509574309496,0.6496725255539617,0.23992557684997068
64_32,0.0001,0.001,0.6,0.4,0.44545145702719796,0.6982304096839169,0.6576701215000759,0.3363378988773442,0.6645961780499212,0.23635269947362564
64_32,0.0001,0.001,0.7,0.3,0.43241802054662576,0.6953455692156036,0.6034443244926901,0.3099868299619001,0.7246337378774921,0.20126523551245717
64_32,0.0001,0.0001,0.2,0.3,0.46185472237137415,0.7119773648724312,0.6618776903664347,0.3486452621179482,0.7105612868744042,0.25841549703765193
64_32,0.0001,0.0001,0.3,0.3,0.46898003046818826,0.7154377185379369,0.7008241374990212,0.37336798348561906,0.6392410235504724,0.28243846943045087
64_32,0.0001,0.0001,0.4,0.3,0.4637809114936908,0.7206237224398417,0.7004515657183077,0.3690745295863424,0.6301248869339682,0.2761788182264736
64_32,0.0001,0.0001,0.5,0.3,0.4533630263900569,0.7042078736454523,0.672463576451463,0.35129014187246643,0.654140571217045,0.2528755165915657
64_32,0.0001,0.0001,0.6,0.4,0.4486413323774201,0.7039548415527553,0.6612811396343499,0.3396056069754697,0.6670625941692873,0.24179374611549614
64_32,0.0001,0.0001,0.7,0.4,0.4337476071782678,0.6699636706865,0.572296188334356,0.30714987220386414,0.7769549401420512,0.1963732471307157
